project,repo,function,file,outcome,reasoning,lines,Julien's classification,Julien's human expert reasoning justification,exist_in_dataset,test_to_exclude,to_extend,,,new_predictions_not_in_dataset,label,exposed
openssl,https://github.com/openssl/openssl.git,www_body,apps/s_server.c,NT,"for(;;) HTTP-mode BIO read loop (lines 3522-3547) that on retry calls OSSL_sleep(1000) and continues with no maximum retry count and no connection timeout. Additionally contains select(width, &readfds, NULL, NULL, NULL) at line 3574 with a NULL timeout blocking for a renegotiation ClientHello — if the peer never responds, this blocks forever.",3522-3574,UNT,"Multiple non-termination conditions, including a path leading to sleep(1000) and retry, which does not seem safe programming",FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
openssl,https://github.com/openssl/openssl.git,RAND_query_egd_bytes,crypto/rand/rand_egd.c,NT,"for(;;) connect-retry loop (lines 136-174) that retries on EINTR, EAGAIN, EINPROGRESS, and EALREADY without an attempt counter or timeout. On a pathological or looping kernel returning EALREADY indefinitely, the loop never exits through its normal break paths.",136-174,UNT,New issue! Need to use a fuel pattern to avoid trying to connect forever,FALSE,FALSE,TRUE,,,,MANIFEST,
openssl,https://github.com/openssl/openssl.git,get_hold_current_qp,crypto/threads_pthread.c,NT,"for(;;) lock-free spin loop (lines 295-319) that atomically increments the RCU reader user-count, retrying if the reader index changes between the load and the increment. Under sustained high write-side pressure causing constant reader_idx churn, a reader thread can spin indefinitely with no bound or backoff.",295-319,NT,Intended non termination due to concurrency,FALSE,FALSE,TRUE,,,,INTENDED,
libxml2,https://github.com/GNOME/libxml2.git,xmllintShell,shell.c,NT,Interactive REPL shell loop (while(1)) that only exits when readline returns NULL (stdin EOF / Ctrl-D) or the user types exit/quit/bye. All exit paths require external user input; the function runs for the lifetime of the process.,1106-1536,NT,Intended non termination readline interface,FALSE,FALSE,TRUE,,,,INTENDED,EXPOSED
libxml2,https://github.com/GNOME/libxml2.git,usershell,xmlcatalog.c,NT,Interactive catalog query REPL loop (while(1)) that only exits when xmlShellReadline returns NULL (stdin EOF) or the user types exit/quit/bye. All exit paths require external user input; the function runs for the lifetime of the process.,113-300,NT,Intended non termination readline interface,FALSE,FALSE,TRUE,,,,INTENDED,EXPOSED
libxml2,https://github.com/GNOME/libxml2.git,xmlRMutexLock,threads.c,NT,"pthread_cond_wait called inside a while(tok->held) loop with no timeout and no internal cancellation path. tok->held is set to 0 only by xmlRMutexUnlock via pthread_cond_signal. If the lock holder deadlocks or exits abnormally without unlocking, the waiting thread blocks indefinitely.",233-257,NT,Intended non termination concurrency,TRUE,FALSE,FALSE,,,,INTENDED,
libxml2,https://github.com/GNOME/libxml2.git,testThread,runtest.c,NT,"WaitForMultipleObjects(num_threads, tid, TRUE, INFINITE) blocks with an infinite timeout waiting for all spawned worker threads. If any worker thread hangs due to a deadlock or infinite loop inside libxml2, this call never returns; no fallback or timeout path exists.",4561-4600,Test,Excluded - Intended non termination on windows in test code,FALSE,TRUE,FALSE,,,,INTENDED,
libxml2,https://github.com/GNOME/libxml2.git,xmlOutputBufferWriteEscape,xmlIO.c,NT,"Loop-variable bug: while(len > 0) advances str and decrements len by c_in bytes consumed by the user-supplied escaping callback. If the callback returns a non-negative value but sets c_in=0 (zero bytes consumed), neither str nor len is ever updated and the loop spins forever. The escaping callback is user-settable via xmlSaveSetEscape with no zero-progress guard.",2488-2546,UNT,(defense in depth - good to fix) Relies on a user supplied callback that may return c_in = 0 and thus the loop would make no progress,FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
cryptopp,https://github.com/weidai11/cryptopp.git,MihailescuProvablePrime,nbtheory.cpp,NT,The outer while(true) loop (line 460) has no break statement; the only exit path is a return inside the inner while(sieve.NextCandidate(p)) loop (line 472). If every sieve window yields no provable primes the inner loop exhausts without returning and the outer loop re-randomizes and retries indefinitely. The comment '// not reached' on line 479 explicitly acknowledges that the function never falls through past the loop.,460-477,UNT,Prime number generation is not guaranteed to finish by code as DoSieve() can be called recursively  if no prime are found.,FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
cryptopp,https://github.com/weidai11/cryptopp.git,BlockingRng::GenerateBlock,osrng.cpp,NT,Reads from /dev/random (a blocking entropy device) inside a while(size) loop with sleep(1) between partial reads. On many Unix systems /dev/random blocks indefinitely when the kernel entropy pool is exhausted; the code comment explicitly notes 'on some systems /dev/random will block until all bytes are available'. The loop has no timeout or internal exit condition other than completing the full requested size; if the OS never delivers sufficient entropy the function never returns.,276-297,UNT,Extracting randomness could block if not all randomness entropy is available on the system,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,loop_thread,lib/isc/loop.c,NT,"Per-CPU worker thread entry point that calls uv_run(&loop->loop, UV_RUN_DEFAULT), which runs the libuv event loop indefinitely until all active handles are closed. Termination only occurs when isc_loopmgr_shutdown() is called externally (via SIGTERM/SIGINT), firing uv_async_send on the shutdown_trigger. No local timeout or bounded iteration — blocks for the entire server lifetime.",295-340,NT,Intended non termination concurrency: signal  expected to stop the loop,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,helper_thread,lib/isc/loop.c,NT,"Companion helper thread launched per loop worker. Calls uv_run(&helper->loop, UV_RUN_DEFAULT) running its libuv event loop indefinitely. Terminates only when the parent loop_thread sends uv_async_send(&helper->shutdown_trigger) after its own uv_run returns. No timeout or local bound; runs for the full lifetime of the associated loop thread.",275-292,NT,Intended non termination concurrency: signal expected to stop the loop,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,isc_loopmgr_run,lib/isc/loop.c,NT,Server main-loop entry point called from named's main(). Spawns N-1 loop_thread worker pthreads and becomes loop_thread for loop[0] itself. Blocks the main thread indefinitely inside uv_run(UV_RUN_DEFAULT); the function does not return until the entire server shuts down via external SIGTERM/SIGINT.,486-512,NT,Intended non termination to start the main thread loop,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,pause_loop,lib/isc/loop.c,NT,"Implements exclusive-mode pausing by calling isc_barrier_wait(&loopmgr->pausing), which maps to pthread_barrier_wait with no timeout. Each thread blocks here indefinitely until ALL other loop and helper threads also reach the barrier. No local exit condition and no deadline — termination entirely depends on all peer threads arriving.",94-101,NT,Intended non termination due to uv_barrier_wait() call,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,resume_loop,lib/isc/loop.c,NT,"Counterpart to pause_loop. Calls isc_barrier_wait(&loopmgr->resuming), a pthread_barrier_wait with no timeout. All N×2 threads (loop + helper threads) must reach this barrier before any can proceed. Blocks indefinitely if any peer thread stalls before calling resume_loop — no deadline or local exit condition.",103-111,NT,Intended non termination due to uv_barrier_wait() call,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,isc_rwlock_rdlock,lib/isc/rwlock.c,NT,"Read-lock acquisition using the C-RW-WP algorithm. Contains an outer while(true) at line 144 and an inner spin-loop while(writers_lock_islocked(rwl)){isc_pause();} at line 154. Neither loop body modifies writers_lock; isc_pause() is only a CPU hint (x86 PAUSE/ARM YIELD), not a timed sleep. If a writer holds the lock indefinitely, this function never returns.",137-167,NT,Intended non termination concurrency code,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,read_indicator_wait_until_empty,lib/isc/rwlock.c,NT,"Internal rwlock helper that spins indefinitely: while(true){if(read_indicator_isempty(rwl))break; isc_pause();}. Waits for all current readers to depart (readers_ingress==readers_egress). No timeout or deadline. If any reader thread stalls after incrementing readers_ingress but before decrementing readers_egress, this loop never terminates.",221-230,NT,intended non termination concurrency code,TRUE,FALSE,FALSE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,isc_rwlock_wrlock,lib/isc/rwlock.c,NT,"Write-lock acquisition with three sequential unbounded spin-loops: (1) while(writers_barrier_israised(rwl)){isc_pause();} at line 237; (2) while(!writers_lock_acquire(rwl)){isc_pause();} at line 242; (3) a call to read_indicator_wait_until_empty(). All three wait on external atomic state never modified locally. If a competing writer or stuck reader never makes progress, the function does not terminate.",232-249,NT,intended non termination concurrency code,TRUE,FALSE,FALSE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,fuzz_thread_client,bin/named/fuzz.c,NT,"AFL fuzzing driver thread for UDP client mode. After sending each packet it blocks on while(!ready){pthread_cond_wait(&cond,&mutex);} with no timeout, waiting for named_fuzz_notify() to be called externally. If named crashes, hangs, or fails to notify, the thread blocks forever.",54-163,NT,intended non termination concurrency *test* code,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,fuzz_thread_resolver,bin/named/fuzz.c,NT,"AFL fuzzing driver thread for DNS resolver mode. Contains the same unbounded condvar wait: while(!ready){pthread_cond_wait(&cond,&mutex);} with no timeout. Blocks until named_fuzz_notify() is called externally to signal completion of resolver processing. If named fails to notify, the thread blocks indefinitely.",182-589,NT,intended non termination concurrency  *test* code,FALSE,FALSE,TRUE,,,,INTENDED,
bind9,https://gitlab.isc.org/isc-projects/bind9.git,fuzz_thread_tcp,bin/named/fuzz.c,NT,"AFL fuzzing driver thread for TCP/HTTP/RNDC mode. Contains two NT patterns: (1) while(!ready){pthread_cond_wait(&cond,&mutex);} with no timeout waiting for named_fuzz_notify(); (2) do{connect();if(r!=0)usleep(10000);}while(r!=0) — an unbounded connect-retry loop with no attempt counter that never terminates if the server port is permanently unavailable.",600-720,NT,intended non termination (concurrency) *test* code,FALSE,FALSE,TRUE,,,,INTENDED,
freeimage,https://github.com/danoli3/FreeImage.git,SearchColorNoIdx,Source/LibWebP/src/enc/vp8l_enc.c,NT,"Binary search while(1) loop has no termination when the target color is absent from sorted[]. When low+1==hi and sorted[low]<color, mid computes to low so the assignment low=mid makes no progress. The function has no break or exit for the not-found case and relies entirely on the caller's precondition that color always exists in the array; a violation causes an infinite loop.",72-81,UNT,"Unintended non termination - go on forever until the color is found in the array, but the array could not contain the color at all. Precondition depends on caller function:  static int EncodeStreamHook(void* input, void* data2) that calls several intermediate functions before arriving on SearchColorNoIdx",FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
freeimage,https://github.com/danoli3/FreeImage.git,Load,Source/FreeImage/PluginIFF.cpp,NT,"PackBits RLE8 BODY-chunk decoder: the while(number_of_bytes_written < line) loop reads one byte per iteration into rle_count (return value unchecked). When rle_count==128 (the PackBits noop opcode), neither the <128 literal-copy branch nor the >128 run-length branch fires, so number_of_bytes_written is never incremented. A crafted or malformed IFF file that continuously emits 0x80 bytes causes the loop to consume file bytes without advancing its termination variable, resulting in an infinite loop.",306-322,UNT,Good new bug! Program never finishes if the file keeps feeding it 0x80 bytes,FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
freeimage,https://github.com/danoli3/FreeImage.git,Load,Source/FreeImage/PluginIFF.cpp,NT,"ILBM interlaced PackBits unpacker: inner for(unsigned x=0; x<src_size;) loop has no automatic increment; x is only advanced inside the t>=0 or t!=-128 branches. When t==-128 (the documented noop), neither branch executes and x remains unchanged. A crafted ILBM stream with comp==1 that continuously emits 0x80 bytes keeps x==0 while advancing the file position by one byte per iteration, producing an infinite loop that exits only when the I/O source is exhausted or the process is killed.",352-387,UNT,Good new bug! Program never finishes if the file keeps feeding it 0x80 bytes (variant of previous),FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
proftpd,https://github.com/proftpd/proftpd.git,daemon_loop,src/main.c,NT,Core server accept loop: while(TRUE) with select() using a configurable short timeout. In the production build there is no break or return inside the loop body — the only local exit is exit(1) on repeated fatal select() errors which kills the process outright. All other termination requires external SIGTERM/SIGHUP. Intentional NT: the function is designed to run for the entire server lifetime.,1595-1809,NT,Intended non termination: daemon loop for top level,FALSE,FALSE,TRUE,,,,INTENDED,
proftpd,https://github.com/proftpd/proftpd.git,cmd_loop,src/main.c,NT,Per-session FTP command-reading loop: while(TRUE) reading commands via pr_netio_telnet_gets2(). In production daemon mode the only exit paths call pr_session_disconnect() -> pr_session_end() -> _exit(); there is no return statement reachable. The function never returns to its caller — the child process runs this loop for its entire lifetime and is terminated via _exit().,928-983,NT,Intended non termination: command loop localhost user,FALSE,FALSE,TRUE,,,,INTENDED,
proftpd,https://github.com/proftpd/proftpd.git,restart_daemon,src/main.c,NT,"SIGHUP handler contains while(maxfd != -1) loop that calls select(maxfd+1, &childfds, NULL, NULL, NULL) with a NULL timeout (indefinite block). The loop waits for all children to signal initialization completion via semaphore pipes. If any child hangs without closing its pipe end, select() blocks forever and the SIGHUP handler never returns, preventing the daemon from completing its restart.",986-1033,NT,select has no timeout which leads to non-termination -- possibly not intended,FALSE,FALSE,TRUE,,,,MANIFEST,
proftpd,https://github.com/proftpd/proftpd.git,packet_poll,contrib/mod_sftp/packet.c,NT,"Core SSH poll helper: while(1) around select(). When TimeoutIdle=0, tvp is set to NULL and select() blocks indefinitely. The ntimeouts-based exit (MAX_POLL_TIMEOUTS=3) is never reached when tvp=NULL because the timeout branch requires a finite interval to expire. The code contains an explicit Issue #1985 comment acknowledging this: the loop blocks without bound until data arrives or an external signal terminates the session.",94-222,UNT,"real non-termination with EINTR behavior. Also, another one in the same loop: real non-termination acknowledged in source code Issue #1985 comment",FALSE,FALSE,TRUE,,,,MANIFEST,EXPOSED
proftpd,https://github.com/proftpd/proftpd.git,sftp_ssh2_packet_read,contrib/mod_sftp/packet.c,NT,"SSH2 packet read loop: while(TRUE) that delegates to packet_poll() then reads packet data. When TimeoutIdle=0, packet_poll sets tvp=NULL causing indefinite blocking in select(). The loop has no local retry counter or wall-clock deadline independent of the TimeoutIdle setting; with TimeoutIdle=0 it blocks indefinitely waiting for packet data.",976-1200,NT,intended non termination due to blocking IO behavior on receiving data,FALSE,FALSE,TRUE,,,,INTENDED,EXPOSED
proftpd,https://github.com/proftpd/proftpd.git,sftp_ssh2_packet_sock_read,contrib/mod_sftp/packet.c,NT,"SSH socket read loop: while(remainlen > 0) retries blocking reads until exactly reqlen bytes are received, with an inner while(res<=0) retrying on EINTR. There is no read-attempt counter or wall-clock timeout independent of packet_poll. All timing is delegated to packet_poll; when TimeoutIdle=0, packet_poll blocks indefinitely and the outer loop consequently has no deadline.",232-355,NT,intended non termination due to blocking IO behavior on receiving data,FALSE,FALSE,TRUE,,,,INTENDED,EXPOSED
proftpd,https://github.com/proftpd/proftpd.git,sftp_get_client_version,contrib/mod_sftp/mod_sftp.c,NT,"SSH version-string banner reader: while(TRUE) reads one byte at a time via sftp_ssh2_packet_sock_read(). Retries on EINTR. The loop continues until a valid CRLF-terminated SSH-2.0- banner is received. When TimeoutIdle=0, the underlying packet_poll call uses tvp=NULL and blocks indefinitely; the byte-at-a-time read loop thus also blocks indefinitely if the client delays or withholds its banner.",100-222,UNT,real non-termination with EINTR behavior on top of the described non-termination conditions,FALSE,FALSE,TRUE,,,,MANIFEST,EXPOSED
proftpd,https://github.com/proftpd/proftpd.git,agent_read_msg,contrib/mod_sftp/agent.c,NT,"SSH agent response reader: while(buflen != *resplen) loop calls blocking read() on a Unix domain socket with no timeout and no retry counter. The code itself contains an XXX comment at line 142-144 acknowledging the defect: 'This needs a timeout, prevent a blocked/bad agent from stalling the server.' If the SSH agent sends a partial response then stalls, read() blocks indefinitely and the function never returns.",180-197,FP,UNKNOWN FUNCTION AT LOCATION,FALSE,FALSE,TRUE,,,,MANIFEST,
proftpd,https://github.com/proftpd/proftpd.git,tls_accept,contrib/mod_tls.c,NT,TLS handshake accept loop using goto retry: calls SSL_accept(); on SSL_ERROR_WANT_READ/WANT_WRITE calls tls_readmore/tls_writemore (each with a 15-second select) then jumps back to retry with no retry counter. A peer that repeatedly triggers WANT_READ or WANT_WRITE without completing the handshake causes unbounded retries. The only external bound is tls_handshake_timeout via pr_timer_add; when tls_handshake_timeout=0 (disabled) the goto-retry loop is entirely unbounded.,7726-7900,FP,False positive! Does not understand goto retry logic will only happen if more data is available as indicated by tls_readmore() or tls_writemore(),FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
proftpd,https://github.com/proftpd/proftpd.git,tls_connect,contrib/mod_tls.c,NT,TLS handshake connect loop using goto retry: same pattern as tls_accept — SSL_connect() retried on WANT_READ/WANT_WRITE via tls_readmore/tls_writemore with no retry counter. Bounded only by tls_handshake_timeout timer; when that timer is disabled (timeout=0) the goto-retry loop retries indefinitely.,8450-8560,FP,False positive! Does not understand goto retry logic will only happen if more data is available as indicated by tls_readmore() or tls_writemore(),FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
proftpd,https://github.com/proftpd/proftpd.git,tls_read,contrib/mod_tls.c,NT,"TLS data read loop using goto retry: SSL_read() on WANT_READ/WANT_WRITE jumps back to the retry label via tls_readmore/tls_writemore (each with a 15-second select). No retry counter exists. Each iteration is bounded by the 15-second select inside tls_readmore, but the total number of retries is unbounded — a peer that keeps the TLS session alive while perpetually triggering WANT_READ causes the function to loop indefinitely.",9648-9733,FP,False positive! Does not understand goto retry logic will only happen if more data is available as indicated by tls_readmore() or tls_writemore(),FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
gpac,https://github.com/gpac/gpac.git,gf_fs_thread_proc,src/filter_core/filter_session.c,NT,"Central filter-session scheduler thread worker. Runs a while(1) loop starting at line 1640; when tasks are pending it calls gf_fs_sema_io() which internally issues gf_sema_wait(sem) — an infinite sem_wait/WaitForSingleObject(INFINITE) with no timeout. All N worker threads share this function and block indefinitely on the secondary semaphore waiting for tasks. The loop exits only when fsess->run_status != GF_OK or all EOS are seen, both set exclusively by external session abort/stop.",1580-2324,NT,Intended non termination thread orchestration,FALSE,FALSE,TRUE,,,,INTENDED,
gpac,https://github.com/gpac/gpac.git,gf_fs_sema_io,src/filter_core/filter_session.c,NT,"Filter-session semaphore I/O helper. When nb_tasks > 0 and a worker thread must wait, it calls gf_sema_wait(sem) at lines 73-74 (main semaphore) or lines 83-84 (secondary semaphore) with no timeout. The blocking sem_wait/WaitForSingleObject(INFINITE) is released only by gf_sema_notify posted from another thread when a new task arrives or session end is signaled. Termination is fully externally controlled.",73-84,NT,intended non termination semaphore wait without timeout,FALSE,FALSE,TRUE,,,,INTENDED,
gpac,https://github.com/gpac/gpac.git,gf_mx_p,src/utils/os_thread.c,NT,"Foundational mutex-acquire primitive used throughout the codebase. On POSIX calls pthread_mutex_lock (line 665); on Win32 calls WaitForSingleObject(mx->hMutex, INFINITE) (line 657). No timeout in either path. Every call to gf_mx_p blocks indefinitely until the mutex holder releases it; if the holder is itself blocked (e.g., on I/O or another semaphore), the caller blocks forever.",633-687,NT,intended non termination pthread_mutex_lock with no timeout,FALSE,FALSE,TRUE,,,,INTENDED,
gpac,https://github.com/gpac/gpac.git,gf_th_run,src/utils/os_thread.c,NT,"Thread launcher. After spawning the child thread, the caller immediately blocks on gf_sema_wait(t->_signal) at line 315 with no timeout, waiting for the child to signal its startup. Formally unbounded: if the child thread crashes or never reaches its gf_sema_notify call, the caller blocks indefinitely. In normal operation this completes quickly, but there is no deadline to bound the wait.",315-315,NT,intended non termination gf_sema_wait no timeout,FALSE,FALSE,TRUE,,,,INTENDED,
gpac,https://github.com/gpac/gpac.git,Thread_Stop,src/utils/os_thread.c,NT,"Graceful thread stop function. On Win32 calls WaitForSingleObject(t->threadH, INFINITE) (line 349); on POSIX calls pthread_join(t->threadH, NULL) (line 371) — both with no timeout. If the target thread is itself blocked on a semaphore, mutex, or network I/O, Thread_Stop hangs forever. Called by gf_th_stop and gf_th_del throughout the codebase with no deadline.",336-379,NT,"intended non termination concurrency. Note: no loop involved here, just one function call!",FALSE,FALSE,TRUE,,,,INTENDED,
gpac,https://github.com/gpac/gpac.git,gf_dm_session_thread,src/utils/downloader.c,NT,"Thread entry point for all threaded HTTP/HTTPS downloads. Loops while(!sess->destroy) at line 2852, calling gf_dm_session_do_task(sess) each iteration followed by gf_sleep(0). The loop terminates only when sess->destroy is set to 1 externally by session destruction. Inside gf_dm_session_do_task, gf_mx_p(sess->mx) is called on every iteration with no timeout. No iteration count or wall-clock bound on the overall loop.",2845-2861,NT,intended non termination concurrency. Ultimately due to pthread_mutex_lock() / WaitForSingleObject() with infinite timeout.,FALSE,FALSE,TRUE,,,,INTENDED,
gpac,https://github.com/gpac/gpac.git,wait_for_header_and_parse,src/utils/downloader.c,NT,"HTTP header reader: while(1) loop at line 5421. When probe=GF_FALSE (non-blocking session with partial bytes already received) and gf_dm_read_data returns GF_IP_NETWORK_EMPTY, all guards are bypassed and the code hits continue at line 5477, immediately retrying with no sleep, counter, or wall-clock check. The request_timeout guard that could bound this spin is only reached on the probe=GF_TRUE path. This is an unbounded busy-spin on network-empty in the non-probe case.",5421-5477,UNT,"Non-termination in IO code, retrying to receive data without timeout while reading data",FALSE,FALSE,TRUE,,,,MANIFEST,EXPOSED
gpac,https://github.com/gpac/gpac.git,h2_send_data_callback,src/utils/downloader.c,NT,"nghttp2 send data callback. Contains a while(1) at line 824 that calls h2_write_data() and immediately retries when the return value is NGHTTP2_ERR_WOULDBLOCK, which occurs when the underlying socket write returns GF_IP_NETWORK_EMPTY in blocking mode. No sleep, counter, or timeout exists in this loop — on a congested or stalled network the function busy-spins indefinitely until the write either succeeds or encounters a non-WOULDBLOCK error.",824-831,UNT,Non-termination in IO code while *writing* data - should use fuel pattern to avoid infinite loop,FALSE,FALSE,TRUE,,,,MANIFEST,EXPOSED
