1project,repo,function,file,outcome,class,explanation,,NT,T,Exclude Latent
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,stat4dump_thread,db/sqlglue.c:12174,NT,Concurrency,By Design: while (gbl_debug_stat4dump_loop) by thread design,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,log_params,db/reqlog.c:1744,T,Fixed,for (int i = 0; i < n; ++i) with n = parm_count(param->fiedval),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,req_stats,db/sltdbt.c:77,T,Fixed,Induction variable tested on param->field value should not show up,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,free_cached_idx,db/sqlglue.c:139,T,Fixed,for (i = 0; i < MAXINDEX; i++) ,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,free_blob_buffers,db/tag.c:5032,T,Fixed,for (ii = 0; ii < nblobs; ii++) { ... } where nblobs comes from param,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,update_dbstore,db/tag.c:5949,T,Fixed,for (int i = 0; i < sizeof db->dbstore / sizeof db->dbstore[0]; ++i),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,free_blob_status_data_int,db/toblob.c:872,T,Fixed,for (ii = 0; ii < MAXBLOBS; ii++),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,idxCreateFromWhere,sqlite/ext/expert/sqllite3expert.c:1018,T,Fixed,Unknown cause: Should assume finiteness of input: for(pCon=pScan->pRange; rc==SQLITE_OK && pCon; pCon=pCon->pNext){ ... },,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,idxCreateCandidates,sqlite/ext/expert/sqllite3expert.c:1057,T,Fixed,Unknown cause: Finiteness of input: for(pIter=p->pScan; pIter && rc==SQLITE_OK; pIter=pIter->pNextScan){ ... },,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,hash_for,util/plhash.c:1640,T,Fixed,Unknown cause: Unable to understand bound value for induction variable coming from variable as ptr->field1.field2,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,cleanresources,db/resource.c:174,T,Missing_Function,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,free_dests,schemachange/sc_struct.c:79,T,Missing_Function,Missing external function constraint: for (; s->dests.count > 0;) where dests.count is modified by listc_rbl(s->dests) called inside the loop,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,process_manifest,tools/comdb2ar/deserialise.cpp:111,T,Missing_Function,Unable to understand eof() / getline() API for std::istringstream coming from finite string.,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,comdb2ma_release,mem/mem.c:655,T,Confusing_Macro,"Unable to understand macro logic LISTC_FOR_EACH(&(root.list), curpos, lnk) ",,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,clear_recs_list,schemachange/sc_records.c:2077,T,Confusing_Macro,"Unable to understand macro logic LISTC_FOR_EACH_SAFE(l, rec, tmp, lnk)",,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,net_cleanup,net/net.c:2401,T,Global_Variable,Global Variable: for (uint8_t i = 0; i < num_dedicated_subnets; i++) {  ... } where num_dedicated_subnets is global ,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,completionNext,sqlite/ext/misc/completion.c/completion.c:204,T,State_Machine,Unable to understand FSM: while( pCur->ePhase!=COMPLETION_EOF ) { ... },,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,comdb2_cheapstack_sym_valist,util/walkback.c:590,T,Unknown_Function,Unable to understand glibc's backtrace semantics without a summary,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,comdb2_cheapstack_sym_char_array,util/walkback.c:628,T,Unknown_Function,Unable to understand glibc's backtrace semantics without a summary,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,parserDoubleLinkSelect,sqlite/src/parse.y:739,T,Missing_Constraint,FP unable to understand reverse walk of a linked list,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,bdb_direct_count,bdb/cursor.c:8772,T,Fixed,Unknown: FP (short loop),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,bdb_queuedb_size,bdb/file.c:7398,T,Fixed,Unknown: FP (short loop),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,__db_vrfy_dbinfo_destroy,berkdb/db/db_vrfyutil.c:105,T,Confusing_Macro,Unable to understand macro logic: for (c = LIST_FIRST(&vdp->subdbs); c != NULL; c = d),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,__dbenv_clear_mintruncate_list,berkdb/env/env_recover.c:552,T,Missing_Function,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,clear_sparse_map,berkdb/lock/lock_deadlock.c:124,T,Fixed,Unknown cause: induction variable tested on param->field should not show up,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,lc_free,berkdb/rep/rep_record.c:388,T,Confusing_Macro,Unable to understand macro logic in berkdb,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,__truncate_repdb,berkdb/rep/rep_record.c:8359,T,Missing_Function,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,__txn_remrem,berkdb/txn/txn_util.c:143,T,Confusing_Macro,Unable to understand macro logic in berkdb,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,__txn_remlock,berkdb/txn/txn_util.c:208,T,Confusing_Macro,Unable to understand macro logic in berkdb,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,cdb2_cluster_info,cdb2api/cdb2api.c:6029,T,Fixed,Unknown cause: maybe short loop,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,cdb2_string_escape,cdb2api/cdb2api.c:8316,T,Assume_Finite,Finiteness of input: while (*src)) where *src does not change but src does!,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,lua_func_list_free,db/comdb2.c:2836,T,Confusing_Macro,"Unable to understand macro logic: FP  LISTC_FOR_EACH_SAFE(list_ptr, item, tmp, lnk)",,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,_access_control_clear,db/fdb_access.c:294,T,Confusing_Macro,"Unable to understand macro logic: FP  LISTC_FOR_EACH_SAFE(list_ptr, item, tmp, lnk)",,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,_fdb_svc_indexes_to_ondisk,db/fdb_bend_sql.c:696,T,Fixed,Unknown cause: induction variable is tested on ptr->field but ptr is the param changing,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,_free_participants,db/osqlsession.c:161,T,Missing_Function,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL),,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,clear_participants,db/sqlglue.c:2527,T,Missing_Constraint,Missing external func constraint: Pattern: while (listc_rtl(&lst) != NULL),,,,
CryptoPP,https://github.com/weidai11/cryptopp/tree/60f81a77e0c9a0e7ffc1ca1bc438ddfa2e43b78e,CryptoPP::AlignedAllocate,allocate.cpp:40,NT,Real_Bug,Infinite loop for memory allocation wrapper should use fuel pattern,,,,
CryptoPP,https://github.com/weidai11/cryptopp/tree/60f81a77e0c9a0e7ffc1ca1bc438ddfa2e43b78e,CryptoPP::UnalignedAllocate,allocate.cpp:89,NT,Real_Bug,Infinite loop for memory allocation wrapper should use fuel pattern,,,,
CryptoPP,https://github.com/weidai11/cryptopp/tree/60f81a77e0c9a0e7ffc1ca1bc438ddfa2e43b78e,CryptoPP::EncodedObjectFilter::Put,asn.cpp:401,T,Missing_Model,while (m_queue.AnyRetrievable()) pattern on m_queue global variable,,,,
CryptoPP,https://github.com/weidai11/cryptopp/tree/60f81a77e0c9a0e7ffc1ca1bc438ddfa2e43b78e,CryptoPP::Tiger::Transform,tiger.cpp:54,T,Missing_Constraint,Pulse-infinite does not capture break logic in a while (true) where break solely provide exit,,,,
exim,https://github.com/Exim/exim/tree/5038b83023cf594bba28afd5454f0bc8629950f4,send_fd_over_socket,log.c:312,NT,Real_Bug,,,,,
exim,https://github.com/Exim/exim/tree/5038b83023cf594bba28afd5454f0bc8629950f4,daemon_go,src/src/daemon.c:1697 ,T,Assume_Finite,"Should assume finiteness of strings manipulated through API: while ((s = string_nextinlist(&list, &sep, big_buffer, big_buffer_size)))",,,,
exim,https://github.com/Exim/exim/tree/5038b83023cf594bba28afd5454f0bc8629950f4,options,src/src/exim_dbutil.c:165,T,Missing_Function,"Missing constraint/model: Does not understand API: while ((opt = getopt(argc, (char * const *)argv, CCS opts)) != -1)",,,,
exim,https://github.com/Exim/exim/tree/5038b83023cf594bba28afd5454f0bc8629950f4,retry_update,src/src/retry.c:579,T,Fixed,short loop: for (int i = 0; i < 3; i++),,,,
exim,https://github.com/Exim/exim/tree/5038b83023cf594bba28afd5454f0bc8629950f4,x509_stack_dump_cert_s_names,src/src/tls-openssl.c:1982,T,Fixed,Missing constraint/model: while (--idx >= 0) where idx is int idx = sk_X509_num(sk) and sk is param,,,,
exim,https://github.com/Exim/exim/tree/5038b83023cf594bba28afd5454f0bc8629950f4,tls_server_stapling_cb,src/src/tls-openssl.c:2385,T,Fixed,for (; olist; olist = olist->next),,,,
exim,https://github.com/Exim/exim/tree/5038b83023cf594bba28afd5454f0bc8629950f4,chain_from_pem_file,src/src/tls-openssl.c:3175,T,Missing_Function,Missing constraint/model: Fail to understand API: while (sk_X509_num(verify_stack) > 0)  X509_free(sk_X509_pop(verify_stack));,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,int_upsample,Source/LibJPEG/jdsample.c:190,NT,Real_Bug,if h_expand = 0 (coming from sample!) then loop while (outptr < outend) never progress,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,horAcc8,Source/LibTIFF4/tif_predict.c:342,NT,Real_Bug,This is guarded by assert() so may not be triggerable - should do proper error return path,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,horAcc16,Source/LibTIFF4/tif_predict.c:411,NT,Real_Bug,This is guarded by assert() so may not be triggerable - should do proper error return path,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,horAcc32,Source/LibTIFF4/tif_predict.c:448,NT,Real_Bug,This is guarded by assert() so may not be triggerable - should do proper error return path,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,horDiff8,Source/LibTIFF4/tif_predict.c:614,NT,Real_Bug,This is guarded by assert() so may not be triggerable - should do proper error return path,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,horDiff16,Source/LibTIFF4/tif_predict.c:692,NT,Real_Bug,This is guarded by assert() so may not be triggerable - should do proper error return path,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,horDiff32,Source/LibTIFF4/tif_predict.c:732,NT,Real_Bug,This is guarded by assert() so may not be triggerable - should do proper error return path,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,run,Source/OpenEXR/IlmThread/IlmThreadPool.cpp:122,NT,Concurrency,while (true) { data.semaphore.wait(); if (data.stopped()) break; } need concurrent thread to terminate,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,FreeImage_GetFileTypeFromHandle,Source/FreeImage/GetType.cpp:37,T,Fixed,for (int i = 0; i < fif_count; ++i) definitely terminates,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,GetBlockColors,Source/FreeImage/PluginDDS.cpp:373,T,Fixed,for (i = 0; i < 2; i++) definitely terminates,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,M3D,Source/FreeImage/WuQuantizer.cpp:185,T,Fixed,for(i = 0; i <= 32; i++) definitely terminates,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,jpeg_idct_3x3,Source/LibJPEG/jidctint.c/jidctint.c:937,T,Fixed,for (ctr = 0; ctr < 3; ctr++) { definitely terminates,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,do_rot_180,Source/LibJPEG/transupp.c:1213,T,Fixed,for (j = 0; j < DCTSIZE; j++) definitely terminates,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,do_transverse,Source/LibJPEG/transupp.c:1321,T,Fixed,for (j = 0; j < DCTSIZE; j++) definitely terminates,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,TIFFLinkDirectory,Source/LibTIFF4/tif_dirwrite.c:2952 ,T,Missing_Function,while (1) { if (ReadOK()) break; } where ReadOK is a macro calling a funcptr,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,Iex::throwErrnoExc,Source/OpenEXR/Iex/IexThrowErrnoExc.cpp:56 ,T,Missing_Model,"while (std::string::npos != (pos = tmp.find (""%T""))) tmp.replace(...) will terminate due to programming idiom",,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,rotateBuf2,Source/OpenEXR/IlmImf/ImfRgbaFile.cpp:1096,T,Unknown,for (int i = 0; i < 3; ++i) definitely terminates. Note: exactly same loop earlier in func. Is there a cfg node issue?,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,reconstructLineOffsets,Source/OpenEXR/IlmImf/ImfScanLineInputFile.cpp:282,T,Unknown,for (unsigned int i = 0; i < lineOffsets.size(); i++) definitely terminates,,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,start_pass,Source/LibJPEG/jddctmgr.c:90,T,Unknown,Nested loop - Obvious termination for (row = 0; row < DCTSIZE; row++),,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,do_flip_v,Source/LibJPEG/transupp.c:933,T,Unknown,Nested loop - Obvious termination for (j = 0; j < DCTSIZE; j++),,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,do_transpose,Source/LibJPEG/transupp.c:1013,T,Unknown,Nested loop - for (j = 0; j < DCTSIZE; j++),,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,Imath::minEigenVector,Source/OpenEXR/Imath/ImathMatrixAlgo.cpp:1200,T,Unknown,for(unsigned int i = 0; i < TV::dimensions(); ++i) terminates (note: has 2 exact copies of this loop in the code! bug due to optim?),,,,
FreeImage,https://github.com/danoli3/FreeImage/tree/8268e809b0827870763444e8a8e58e0a83a733f5,Imath::maxEigenVector,Source/OpenEXR/Imath/ImathMatrixAlgo.cpp:1181,T,Unknown,for(unsigned int i = 0; i < TV::dimensions(); ++i) terminates (note: has 2 exact copies of this loop in the code! bug due to optim?),,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,compositor_2d_set_aspect_ratio,src/compositor/compositor_2d.c:986,NT,Concurrency,Concurrency: UI visual changed (from event by user),,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,Remotery_MapMessageQueue,src/utils/Remotery.c:4817,NT,Concurrency,Concurrency: Wait until the caller sets the custom data,,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,svg_dump_path,src/scenegraph/svg_attributes.c:4050,NT,Real_Bug,,,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,gf_read_line_input,src/utils/os_divers.c:3212,NT,User_Event,Call to readline() never comes back potentially,,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,gpac_suggest_arg,applications/gpac/gpac_help.c:1085,T,Missing_Constraint,Missing Reasoning: while (args[i].name) with i changing,,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,gpac_suggest_filter,applications/gpac/gpac_help.c:1126,T,Missing_Constraint,Missing Reasoning: while (doc_helps[i]) with only i changing,,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,PrintHelpArg,applications/mp4box/mp4box.c:1755,T,Missing_Constraint,Missing Reasoning: while (reg->args) does not change but recursion is controlled by break statement on other variables arg and j,,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,gf_bifs_enc_commands,src/bifs/com_enc.c:839,T,Missing_Function,Missing constraint/model: while (gf_list_count(codec->encoded_nodes)) list_rm(codec->encoded_nodes),,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,MS_Modified,src/compositor/mpeg4_mediasensor.c:117,T,Missing_Function,"Missing constraint/model: while (gf_list_count(st->seg)) gf_list_rem(st->seg, 0);",,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,rtpin_setup_sdp,src/filters/in_rtp_sdp.c:34,T,Missing_Function,"Missing constraint/model: while ((media = (GF_SDPMedia*)gf_list_enum(sdp->media_desc, &i))) API",,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,rtpin_stream_new,src/filters/in_rtp_stream.c:275,T,Missing_Function,Missing constraint/model: Unable to understand gf_list_enum API,,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,dump_escape_string,src/isomedia/box_dump.c:470,T,Fixed,FP short loop of for (i=0; i<len; i++) { where len = 0,,,,
gpac,https://github.com/gpac/gpac/tree/b655955b840ccd7c7198bb15375aa510e76208eb,ipma_box_size,src/isomedia/iff.c:688,T,Fixed,Missing constraint/model: for (i = 0; i < entry_count; i++) where entry_count is gf_list_count(p->entries) where p comes from input,,,,
